FileNo,APINo,SpudDate,completion mo,CurrentWellName,CurrentOperator,Wellbore,WellType,WellStatus,Latitude,Longitude
75,33105000340000,5/19/52,6/1/52,BEAVER LODGE-MADISON UNIT     J-9,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.271407,-102.9597
79,33105000370000,5/15/52,6/1/52,BEAVER LODGE-MADISON UNIT     L-5,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.256862,-102.949735
74,33105000330000,5/14/52,6/1/52,BEAVER LODGE-MADISON UNIT     J-11,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.278655,-102.95965
82,33105000400000,5/24/52,6/1/52,TIOGA-MADISON UNIT     H-126,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.450344,-102.898781
68,33105000280000,5/13/52,6/1/52,BEAVER LODGE-MADISON UNIT     N-15,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.293101,-102.938713
65,33105000250000,4/23/52,6/1/52,TIOGA-MADISON UNIT     H-142,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.507943,-102.898899
53,33105000150000,5/12/52,7/1/52,BEAVER LODGE-MADISON UNIT     W-26,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.332944,-102.890122
76,33105000350000,5/21/52,7/1/52,BEAVER LODGE-MADISON UNIT     R-24,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.325705,-102.91719
69,33105000290000,5/26/52,7/1/52,BEAVER LODGE-MADISON UNIT     K-17,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.30033,-102.954463
55,33105000170000,5/5/52,7/1/52,BEAVER LODGE-MADISON UNIT     K-16,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.296712,-102.954012
80,33105000380000,5/23/52,7/1/52,BEAVER LODGE-MADISON UNIT     V-24,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.325702,-102.89653
77,33105000360000,5/19/52,7/1/52,TIOGA-MADISON UNIT     I-105,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.374407,-102.893615
81,33105000390000,6/2/52,7/1/52,BEAVER LODGE-MADISON UNIT     F-9,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.271464,-102.981312
96,33105000480000,6/28/52,7/1/52,TIOGA-MADISON UNIT     H-128,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.457617,-102.898823
106,33105000540000,7/15/52,8/1/52,OLIVER I. HERSEL     1,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.370098,-102.884934
93,33105000470000,6/28/52,8/1/52,TIOGA-MADISON UNIT     F-122,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.435839,-102.909621
92,33105000460000,6/30/52,8/1/52,TIOGA-MADISON UNIT     I-123,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.439491,-102.893313
88,33105000440000,7/6/52,8/1/52,BEAVER LODGE-MADISON UNIT     R-25,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.329324,-102.917228
97,33105000490000,6/23/52,8/1/52,BEAVER LODGE-MADISON UNIT     Q-27,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.336578,-102.922705
54,33105000160000,7/5/52,8/1/52,BEAVER LODGE-MADISON UNIT     X-27,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.336661,-102.884717
102,33105000520000,7/2/52,8/1/52,BEAVER LODGE-MADISON UNIT     P-22,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.318401,-102.927894
101,33105000510000,7/5/52,8/1/52,BEAVER LODGE-MADISON UNIT     N-18,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.303956,-102.938714
90,33105000450000,7/9/52,8/1/52,BEAVER LODGE-MADISON UNIT     U-21,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.314851,-102.900856
99,33061000010000,7/4/52,8/1/52,TIOGA-MADISON UNIT     K-141,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,WI,TA,48.504646,-102.882698
119,33105000640000,7/5/52,8/1/52,BEAVER LODGE-MADISON UNIT     L-15,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.293096,-102.948635
103,33105000530000,7/21/52,8/1/52,BEAVER LODGE-MADISON UNIT     W-30,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.347515,-102.890221
118,33105000630000,7/30/52,8/1/52,TIOGA-MADISON UNIT     D-130,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,WI,TA,48.464879,-102.920633
78,33053000030000,5/21/52,8/1/52,CHARLSON-MADISON SOUTH UNIT     A-216,TEXACO EXPLORATION & PRODUCTION INC.,VERTICAL,OG,PA,48.079706,-102.90538
107,33105000550000,7/27/52,9/1/52,BEAVER LODGE-MADISON UNIT     C-9,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.271433,-102.997474
60,33105000220000,6/7/52,9/1/52,BEAVER LODGE-MADISON UNIT     L-3,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.249626,-102.94951
129,33061000030000,8/8/52,9/1/52,TIOGA-MADISON UNIT     M-125,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.446813,-102.871877
87,33105000430000,8/8/52,9/1/52,BEAVER LODGE-MADISON UNIT     K-11,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.278651,-102.954652
130,33105000720000,8/8/52,9/1/52,TIOGA-MADISON UNIT     F-138,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,TA,48.493879,-102.90973
112,33105000580000,8/14/52,9/1/52,BEAVER LODGE-MADISON UNIT     S-29,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.343827,-102.911896
137,33105000750000,8/15/52,9/1/52,BEAVER LODGE-MADISON UNIT     N-20,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.311304,-102.938714
113,33105000590000,8/18/52,9/1/52,BEAVER LODGE-MADISON UNIT     G-13,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.285906,-102.975862
135,33061000050000,8/19/52,9/1/52,TIOGA-MADISON UNIT     K-131,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,PA,48.468522,-102.882805
116,33105000610000,8/13/52,9/1/52,BEAVER LODGE-MADISON UNIT     O-23,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.322057,-102.933348
108,33105000560000,7/21/52,9/1/52,TIOGA-MADISON UNIT     G-143,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,OG,TA,48.511865,-102.904313
